TransactionID,AccountID,TransactionAmount,PreviousTransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionDate,cluster
TX000036,AC00267,124.76,2023-10-16 16:32:56,debit,seattle,D000042,59.145.242.13,M002,branch,49.0,engineer,45.0,1.0,5764.72,2024-11-04 08:06:23,4
TX000470,AC00036,71.95,2023-02-13 16:39:52,credit,unknown,D000410,162.58.247.55,M100,online,59.0,engineer,53.0,1.0,9267.32,2024-11-04 08:06:23,1
TX002045,AC00241,188.61,2024-01-01 17:16:23,debit,boston,D000451,107.248.120.12,M083,online,67.0,retired,26.0,1.0,7167.57,2024-11-04 08:06:23,4
TX002108,AC00190,46.6,2023-08-30 17:54:55,debit,detroit,D000029,147.227.81.224,M060,online,55.0,doctor,68.0,1.0,1562.9,2024-11-04 08:06:23,4
TX002424,AC00340,332.06,2023-06-21 16:38:54,debit,seattle,D000365,94.37.250.128,M086,atm,29.0,doctor,221.0,1.0,11826.52,2024-11-04 08:06:23,2
TX001250,AC00383,256.3,2023-04-05 16:21:59,debit,new york,D000099,133.63.96.21,M066,online,53.0,retired,172.0,1.0,4203.05,2024-11-04 08:06:23,2
TX001253,AC00460,379.54,2023-01-03 17:14:14,credit,indianapolis,D000668,109.105.179.186,M040,branch,41.0,doctor,118.0,1.0,12571.76,2024-11-04 08:06:23,1
TX002158,AC00155,207.2,2024-01-01 16:12:32,debit,columbus,D000604,214.247.164.80,M028,online,60.0,engineer,133.0,1.0,8092.94,2024-11-04 08:06:23,4
TX001167,AC00175,309.77,2023-05-08 16:31:56,credit,san antonio,D000384,40.10.25.102,M010,online,67.0,retired,137.0,1.0,4378.14,2024-11-04 08:06:24,4
TX000257,AC00073,186.6,2023-07-04 16:27:23,debit,unknown,D000149,52.1.78.30,M037,online,58.0,doctor,13.0,1.0,1508.72,2024-11-04 08:06:24,4
TX002205,AC00358,474.77,2023-10-06 18:26:45,debit,boston,D000164,65.124.242.67,M038,online,46.0,engineer,284.0,1.0,8494.53,2024-11-04 08:06:24,2
TX002115,AC00427,211.695,2023-11-24 17:24:24,debit,milwaukee,D000294,147.125.143.41,M064,atm,57.0,engineer,107.0,1.0,3120.1,2024-11-04 08:06:24,4
TX001088,AC00330,386.97,2023-01-31 16:51:55,debit,raleigh,D000324,107.247.202.71,M098,branch,58.0,retired,137.0,1.0,1876.35,2024-11-04 08:06:24,4
